Location,Lat Long
San Francisco,"37.778042, -122.418793"
London,"51.526688, -0.120850"
Vancouver,"49.273181, -123.112106"
Los Angeles,"34.104982, -118.245850"
Montreal,"45.546755, -73.550720"
Mumbai,"19.075665,72.877537"
 Hyderabad,"17.384982,78.48669"
Kaohsiung,"23.008964,120.665374"
San Francisco,"37.785911, -122.419281"
Adelaide,"-34.880580, 138.594246‎"
New York,"40.736852, -74.001160‎"
Berkeley_CA,"37.877563, -122.272682"
Sydney,"-33.770015, 151.210327‎"
Burbank_CA,"34.186814, -118.307991"
Frankfurt,"50.120138, 8.682632"
Munich,"48.136767,11.582916"
Piedmont_Quebec,"45.904344, -74.120636"
Toronto,"43.663898, -79.382401"
Santa Maria,"34.954337,-120.435272"
Wellington,"-41.178654,174.81102"