Location,Region,Lat Long
San Francisco,California,"37.778042, -122.418793"
London,United Kingdom,"51.526688, -0.120850"
Vancouver,Canada,"49.273181, -123.112106"
Los Angeles,California,"34.104982, -118.245850"
Montreal,Canada,"45.546755, -73.550720"
Mumbai,India,"19.075665,72.877537"
 Hyderabad,India,"17.384982,78.48669"
Kaohsiung,Taiwan,"23.008964,120.665374"
San Francisco,California,"37.785911, -122.419281"
Adelaide,Australia,"-34.880580, 138.594246‎"
New York,New York,"40.736852, -74.001160‎"
Berkeley,California,"37.877563, -122.272682"
Sydney,Australia,"-33.770015, 151.210327‎"
Burbank,California,"34.186814, -118.307991"
Frankfurt,Germany,"50.120138, 8.682632"
Munich,Germany,"48.136767,11.582916"
Piedmont,Canada,"45.904344, -74.120636"
Toronto,Canada,"43.663898, -79.382401"
Santa Maria,California,"34.954337,-120.435272"
Wellington,New Zealand,"-41.178654,174.81102"